originalTitle,Year,Count,time,rate,isAdult,genres,Rating,Writer
Swearnet: The Movie,2014,935,112,8.35,0.0,Comedy,6.0,Mike Smith
Fuck,2005,857,93,9.22,0.0,Documentary,7.0,
The Wolf of Wall Street,2013,569,180,3.16,0.0,"Biography,Comedy,Crime",8.2,Terence Winter
Uncut Gems,2019,560,135,4.15,0.0,"Crime,Drama,Thriller",7.4,Ronald Bronstein
Summer of Sam,1999,435,142,3.06,0.0,"Crime,Drama,Romance",6.7,Spike Lee
Nil by Mouth,1997,428,128,3.34,0.0,Drama,7.3,Gary Oldman
Casino,1995,422,178,2.37,0.0,"Crime,Drama",8.2,Nicholas Pileggi
Alpha Dog,2006,420,118,3.56,0.0,"Biography,Crime,Drama",6.9,Nick Cassavetes
Straight Outta Compton,2015,392,167,2.35,0.0,"Biography,Drama,History",7.8,Jonathan Herman
The Outpost,2020,355,123,2.89,,,,
Starred Up,2013,337,106,3.18,0.0,"Crime,Drama",7.3,Jonathan Asser
End of Watch,2012,326,109,2.99,0.0,"Action,Adventure,Crime",7.6,David Ayer
State Property,2002,321,88,3.65,0.0,"Action,Crime,Drama",4.3,Abdul Malik Abbott
One Day Removals,2008,320,85,3.76,0.0,Comedy,6.6,Mark Stirton
Twin Town,1997,318,99,3.21,0.0,"Comedy,Drama",6.7,Kevin Allen
Running Scared,2006,315,122,2.58,0.0,"Action,Crime,Drama",7.3,Wayne Kramer
Sweet Sixteen,2002,313,106,2.95,0.0,"Crime,Drama",7.4,Paul Laverty
Martin Lawrence Live: Runteldat,2002,311,113,2.75,0.0,"Comedy,Documentary",5.4,Martin Lawrence
Menace II Society,1993,300,97,3.09,0.0,"Crime,Drama,Thriller",7.5,Allen Hughes
Goodfellas,1990,300,146,2.05,,,,
Narc,2002,297,105,2.83,0.0,"Crime,Drama,Mystery",7.1,Joe Carnahan
Harsh Times,2006,296,116,2.55,,,,
Another Day in Paradise,1998,291,101,2.88,0.0,"Crime,Drama,Thriller",6.5,Eddie Little
Made,2001,291,94,3.1,0.0,"Comedy,Crime,Drama",6.3,Jon Favreau
Pride and Glory,2008,291,130,2.24,0.0,"Crime,Drama,Thriller",6.6,Joe Carnahan
Malcolm & Marie,2021,289,106,2.73,0.0,"Drama,Romance",6.6,Sam Levinson
Goat,2016,289,96,3.01,0.0,Drama,5.7,David Gordon Green
Wheelman,2017,286,82,3.49,0.0,"Action,Crime,Thriller",6.4,Jeremy Rush
Small Engine Repair,2021,281,103,2.73,0.0,"Comedy,Drama,Thriller",6.5,John Pollono
The Big Lebowski,1998,281,117,2.4,0.0,"Comedy,Crime",8.1,Ethan Coen
Dirty,2005,280,97,2.89,0.0,"Crime,Thriller",5.5,Chris Fisher
Jarhead,2005,278,123,2.26,0.0,"Biography,Drama,War",7.0,William Broyles Jr.
Cherry,2021,276,140,1.97,0.0,"Biography,Crime,Drama",6.6,Angela Russo-Otstot
Bully,2001,274,114,2.4,0.0,"Biography,Crime,Drama",6.9,Jim Schutze
State Property 2,2005,271,94,2.88,0.0,"Action,Crime,Drama",4.5,Blue Moreno
Brooklyn's Finest,2010,270,132,2.05,,,,
Reservoir Dogs,1992,269,99,2.72,0.0,"Crime,Thriller",8.3,Quentin Tarantino
Pulp Fiction,1994,265,154,1.72,0.0,"Crime,Drama",8.9,Quentin Tarantino
I'm Still Here,2010,250,106,2.36,0.0,"Comedy,Drama,Music",6.2,Casey Affleck
Jay and Silent Bob Strike Back,2001,248,104,2.38,0.0,Comedy,6.8,Kevin Smith
Do the Right Thing,1989,240,120,2.0,0.0,"Comedy,Drama",7.9,Spike Lee
Free Fire,2016,240,90,2.67,0.0,"Action,Comedy,Crime",6.3,Amy Jump
The Boondock Saints,1999,239,108,2.21,0.0,"Action,Thriller",7.7,Troy Duffy
The Departed,2006,237,151,1.57,0.0,"Crime,Drama,Thriller",8.5,William Monahan
Empire,2002,236,90,2.62,0.0,"Crime,Drama,Thriller",5.9,Franc. Reyes
Black Mass,2015,234,123,1.9,0.0,"Biography,Crime,Drama",6.9,Mark Mallouk
True Romance,1993,234,118,1.98,0.0,"Crime,Drama,Romance",7.9,Quentin Tarantino
Resolution,2012,231,93,2.48,0.0,"Drama,Horror,Mystery",6.3,Justin Benson
Goon,2012,231,92,2.51,,,,
Infamous,2020,230,100,2.3,0.0,"Crime,Drama,Romance",4.3,Joshua Caldwell
My Name Is Joe,1998,230,105,2.19,0.0,"Drama,Romance",7.5,Paul Laverty
State of Grace,1990,230,134,1.72,0.0,"Action,Crime,Drama",7.2,Dennis McIntyre
Gridlock'd,1997,227,91,2.49,0.0,"Comedy,Crime,Drama",6.9,Vondie Curtis-Hall
The Devil's Rejects,2005,224,109,2.06,0.0,"Crime,Horror,Western",6.7,Rob Zombie
Eddie Murphy Raw,1987,223,90,2.48,,,,
Suicide Kings,1997,222,106,2.09,0.0,"Comedy,Crime,Drama",6.9,Josh McKinney
Looking for Eric,2009,220,116,1.9,0.0,"Comedy,Drama,Fantasy",7.1,Paul Laverty
Zack and Miri Make a Porno,2008,219,102,2.15,0.0,"Comedy,Romance",6.5,Kevin Smith
30 Minutes or Less,2011,218,83,2.63,0.0,"Action,Comedy,Crime",6.1,Michael Diliberti
Red Rocket,2021,218,130,1.68,0.0,"Comedy,Drama",7.2,Sean Baker
Black and White,1999,215,98,2.19,0.0,"Action,Mystery,Thriller",5.2,Yuri Zeltser
American History X,1998,214,119,1.8,0.0,"Crime,Drama",8.5,David McKenna
The Original Kings of Comedy,2000,213,115,1.85,0.0,"Comedy,Documentary",6.8,Cedric the Entertainer
Hot Tub Time Machine,2010,212,99,2.14,0.0,"Comedy,Sci-Fi",6.4,Josh Heald
All Eyez on Me,2017,210,140,1.5,0.0,"Biography,Drama,Music",5.8,Jeremy Haft
Layer Cake,2004,210,105,2.0,0.0,"Action,Crime,Drama",7.3,J.J. Connolly
Monument Ave.,1998,210,93,2.26,,,,
Scarface,1983,207,170,1.22,0.0,"Crime,Drama",8.3,Oliver Stone
Spun,2002,203,101,2.01,0.0,"Comedy,Crime,Drama",6.7,Will De Los Santos
8 Mile,2002,200,110,1.82,0.0,"Drama,Music",7.2,Scott Silver
22 Jump Street,2014,200,112,1.79,0.0,"Action,Comedy,Crime",7.0,Michael Bacall
A Bronx Tale,1993,200,120,1.67,0.0,"Crime,Drama",7.8,Chazz Palminteri
Dysfunktional Family,2003,200,89,2.25,,,,
Foolish,1999,200,97,2.06,0.0,"Comedy,Drama",4.9,Eddie Griffin
Skin,2019,200,110,1.82,0.0,Documentary,7.0,Beverly Naya
This Is the End,2013,200,107,1.87,0.0,"Comedy,Fantasy",6.6,Seth Rogen
I Got the Hook-Up,1998,197,93,2.12,,,,
Born on the Fourth of July,1989,196,145,1.35,0.0,"Biography,Drama,War",7.2,Ron Kovic
Sabotage,2014,196,109,1.8,0.0,"Action,Crime,Drama",5.7,Skip Woods
Bodies Bodies Bodies,2022,194,95,2.04,0.0,"Comedy,Horror,Thriller",6.3,Sarah DeLappe
Killing Them Softly,2012,193,97,1.99,0.0,"Crime,Drama,Thriller",6.2,Andrew Dominik
Next Day Air,2009,193,84,2.3,0.0,"Action,Comedy,Crime",5.7,Blair Cobbs
Overnight,2003,191,82,2.33,0.0,Documentary,7.0,Mark Brian Smith
Magnolia,1999,190,188,1.01,0.0,Drama,8.0,Paul Thomas Anderson
Ten Benny [d],1996,190,108,1.76,,,,
Monster,2003,187,109,1.72,0.0,"Biography,Crime,Drama",7.3,Patty Jenkins
Belly,1998,186,92,2.02,0.0,"Crime,Drama",6.2,Anthony Bodden
Hustle & Flow,2005,186,116,1.6,0.0,"Crime,Drama,Music",7.3,Craig Brewer
Clockers,1995,185,128,1.45,0.0,"Crime,Drama,Mystery",6.9,Richard Price
Get Rich or Die Tryin',2005,185,117,1.58,0.0,"Biography,Crime,Drama",5.4,Terence Winter
The Wall,2017,185,88,2.1,0.0,"Action,Drama,Thriller",6.2,Dwain Worrell
Bad Santa 2,2016,180,92,1.96,0.0,"Comedy,Crime,Drama",5.6,Johnny Rosenthal
Bodied,2017,179,121,1.48,0.0,"Comedy,Drama,Music",7.1,Alex Larsen
Flawless,1999,178,112,1.59,0.0,"Crime,Drama",6.4,Joel Schumacher
Silk Road,2021,177,112,1.58,0.0,"Crime,Drama,Thriller",6.0,Tiller Russell
Slam,1998,176,100,1.76,0.0,Drama,7.0,Marc Levin
Superbad,2007,176,113,1.56,0.0,Comedy,7.6,Seth Rogen
Pineapple Express,2008,175,112,1.56,0.0,"Action,Comedy,Crime",6.9,Seth Rogen
Trainspotting,1996,175,95,1.84,0.0,Drama,8.1,Irvine Welsh
Poetic Justice,1993,175,109,1.61,0.0,"Drama,Romance",6.1,John Singleton
Project X,2012,175,88,1.99,0.0,Comedy,6.6,Matt Drake
Human Traffic,1999,174,99,1.76,0.0,"Comedy,Music",7.1,Justin Kerrigan
Bad Santa,2003,173,91,1.9,0.0,"Comedy,Crime,Drama",7.1,Glenn Ficarra
Tigerland,2000,173,101,1.71,0.0,"Drama,War",7.0,Ross Klavan
Donnie Brasco,1997,172,127,1.35,0.0,"Biography,Crime,Drama",7.7,Joseph D. Pistone
Coffee & Kareem,2020,171,88,1.94,0.0,"Action,Comedy,Crime",5.1,Shane Mack
Mid90s,2018,171,85,2.01,0.0,"Comedy,Drama",7.3,Jonah Hill
Backstage,2000,170,86,1.98,0.0,Documentary,5.7,
Dolemite Is My Name,2019,169,118,1.43,0.0,"Biography,Comedy,Drama",7.2,Scott Alexander
Grindhouse,2007,169,191,0.88,0.0,"Action,Horror,Thriller",7.5,Robert Rodriguez
